DateTime,DOY,ASY_D,ASY_H,SYM_D,SYM_H,Location
10/11/2011 00:00:00,284,16,8,2,0,1
10/11/2011 00:01:00,284,16,8,2,0,1
10/11/2011 00:02:00,284,16,8,2,0,1
10/11/2011 00:03:00,284,16,8,2,0,1
10/11/2011 00:04:00,284,16,8,2,0,1
10/11/2011 00:05:00,284,17,8,2,0,1
10/11/2011 00:06:00,284,17,8,2,0,1
10/11/2011 00:07:00,284,17,8,2,-1,1
10/11/2011 00:08:00,284,17,8,2,-1,1
10/11/2011 00:09:00,284,17,7,1,-1,1
10/11/2011 00:10:00,284,17,7,1,-1,1
10/11/2011 00:11:00,284,17,8,1,-1,1
10/11/2011 00:12:00,284,17,8,1,-1,1
10/11/2011 00:13:00,284,18,8,1,-1,1
10/11/2011 00:14:00,284,17,8,1,-1,1
10/11/2011 00:15:00,284,18,8,1,-1,1
10/11/2011 00:16:00,284,17,8,1,-2,1
10/11/2011 00:17:00,284,17,9,1,-2,1
10/11/2011 00:18:00,284,17,9,1,-2,1
10/11/2011 00:19:00,284,17,9,1,-2,1
10/11/2011 00:20:00,284,18,9,1,-2,1
10/11/2011 00:21:00,284,18,9,1,-2,1
10/11/2011 00:22:00,284,18,10,1,-2,1
10/11/2011 00:23:00,284,18,10,1,-2,1
10/11/2011 00:24:00,284,18,10,1,-2,1
10/11/2011 00:25:00,284,18,10,1,-2,1
10/11/2011 00:26:00,284,18,10,1,-2,1
10/11/2011 00:27:00,284,18,10,1,-2,1
10/11/2011 00:28:00,284,18,10,1,-2,1
10/11/2011 00:29:00,284,18,11,1,-2,1
10/11/2011 00:30:00,284,18,11,1,-2,1
10/11/2011 00:31:00,284,18,11,1,-2,1
10/11/2011 00:32:00,284,19,11,1,-1,1
10/11/2011 00:33:00,284,19,11,1,-1,1
10/11/2011 00:34:00,284,19,11,1,-1,1
10/11/2011 00:35:00,284,19,10,1,-1,1
10/11/2011 00:36:00,284,19,11,1,-2,1
10/11/2011 00:37:00,284,19,11,1,-2,1
10/11/2011 00:38:00,284,19,11,1,-2,1
10/11/2011 00:39:00,284,19,11,1,-2,1
10/11/2011 00:40:00,284,19,11,1,-2,1
10/11/2011 00:41:00,284,20,11,1,-2,1
10/11/2011 00:42:00,284,19,11,1,-2,1
10/11/2011 00:43:00,284,20,11,1,-2,1
10/11/2011 00:44:00,284,20,10,1,-2,1
10/11/2011 00:45:00,284,20,10,1,-2,1
10/11/2011 00:46:00,284,20,10,1,-2,1
10/11/2011 00:47:00,284,20,10,1,-2,1
10/11/2011 00:48:00,284,20,11,1,-2,1
10/11/2011 00:49:00,284,21,11,1,-2,1
10/11/2011 00:50:00,284,20,11,1,-2,1
10/11/2011 00:51:00,284,21,10,1,-2,1
10/11/2011 00:52:00,284,21,10,1,-2,1
10/11/2011 00:53:00,284,21,10,1,-2,1
10/11/2011 00:54:00,284,21,11,1,-2,1
10/11/2011 00:55:00,284,21,11,1,-2,1
10/11/2011 00:56:00,284,21,11,1,-2,1
10/11/2011 00:57:00,284,21,11,1,-2,1
10/11/2011 00:58:00,284,21,10,1,-2,1
10/11/2011 00:59:00,284,22,10,1,-2,1
10/11/2011 01:00:00,284,22,10,1,-2,1
10/11/2011 01:01:00,284,22,10,1,-2,1
10/11/2011 01:02:00,284,22,10,1,-3,1
10/11/2011 01:03:00,284,23,10,1,-3,1
10/11/2011 01:04:00,284,22,10,1,-2,1
10/11/2011 01:05:00,284,22,10,1,-2,1
10/11/2011 01:06:00,284,23,10,1,-3,1
10/11/2011 01:07:00,284,23,9,1,-3,1
10/11/2011 01:08:00,284,23,9,1,-3,1
10/11/2011 01:09:00,284,22,9,1,-3,1
10/11/2011 01:10:00,284,22,10,1,-3,1
10/11/2011 01:11:00,284,22,10,1,-3,1
10/11/2011 01:12:00,284,22,9,1,-4,1
10/11/2011 01:13:00,284,22,9,1,-4,1
10/11/2011 01:14:00,284,24,9,1,-4,1
10/11/2011 01:15:00,284,23,9,1,-4,1
10/11/2011 01:16:00,284,23,9,1,-4,1
10/11/2011 01:17:00,284,23,9,1,-4,1
10/11/2011 01:18:00,284,22,9,1,-4,1
10/11/2011 01:19:00,284,23,9,1,-4,1
10/11/2011 01:20:00,284,22,9,1,-4,1
10/11/2011 01:21:00,284,23,9,1,-4,1
10/11/2011 01:22:00,284,23,10,1,-4,1
10/11/2011 01:23:00,284,22,10,2,-4,1
10/11/2011 01:24:00,284,22,9,1,-4,1
10/11/2011 01:25:00,284,22,9,1,-4,1
10/11/2011 01:26:00,284,22,9,1,-4,1
10/11/2011 01:27:00,284,22,9,1,-5,1
10/11/2011 01:28:00,284,22,9,1,-5,1
10/11/2011 01:29:00,284,23,9,2,-5,1
10/11/2011 01:30:00,284,23,8,1,-4,1
10/11/2011 01:31:00,284,23,10,2,-4,1
10/11/2011 01:32:00,284,22,10,2,-4,1
10/11/2011 01:33:00,284,21,9,2,-4,1
10/11/2011 01:34:00,284,21,9,2,-4,1
10/11/2011 01:35:00,284,21,8,2,-3,1
10/11/2011 01:36:00,284,21,8,2,-3,1
10/11/2011 01:37:00,284,20,8,2,-3,1
10/11/2011 01:38:00,284,20,9,2,-4,1
10/11/2011 01:39:00,284,20,8,2,-4,1
10/11/2011 01:40:00,284,20,8,2,-4,1
10/11/2011 01:41:00,284,20,8,2,-4,1
10/11/2011 01:42:00,284,20,7,2,-4,1
10/11/2011 01:43:00,284,20,7,2,-4,1
10/11/2011 01:44:00,284,21,7,2,-5,1
10/11/2011 01:45:00,284,21,8,2,-5,1
10/11/2011 01:46:00,284,21,8,2,-5,1
10/11/2011 01:47:00,284,21,9,2,-5,1
10/11/2011 01:48:00,284,20,7,2,-5,1
10/11/2011 01:49:00,284,20,7,2,-5,1
10/11/2011 01:50:00,284,20,7,2,-4,1
10/11/2011 01:51:00,284,20,7,2,-4,1
10/11/2011 01:52:00,284,20,7,2,-4,1
10/11/2011 01:53:00,284,19,7,2,-4,1
10/11/2011 01:54:00,284,19,7,2,-4,1
10/11/2011 01:55:00,284,19,7,2,-4,1
10/11/2011 01:56:00,284,19,6,2,-4,1
10/11/2011 01:57:00,284,20,6,2,-4,1
10/11/2011 01:58:00,284,20,6,2,-4,1
10/11/2011 01:59:00,284,19,6,3,-4,1
10/11/2011 02:00:00,284,20,6,2,-4,1
10/11/2011 02:01:00,284,19,6,2,-4,1
10/11/2011 02:02:00,284,20,7,2,-4,1
10/11/2011 02:03:00,284,20,6,2,-3,1
10/11/2011 02:04:00,284,20,6,2,-3,1
10/11/2011 02:05:00,284,20,6,2,-3,1
10/11/2011 02:06:00,284,20,5,2,-3,1
10/11/2011 02:07:00,284,19,5,3,-3,1
10/11/2011 02:08:00,284,19,6,2,-3,1
10/11/2011 02:09:00,284,19,5,2,-3,1
10/11/2011 02:10:00,284,18,4,3,-3,1
10/11/2011 02:11:00,284,19,4,3,-2,1
10/11/2011 02:12:00,284,19,5,2,-2,1
10/11/2011 02:13:00,284,19,5,2,-2,1
10/11/2011 02:14:00,284,19,5,2,-2,1
10/11/2011 02:15:00,284,19,4,2,-3,1
10/11/2011 02:16:00,284,19,5,2,-2,1
10/11/2011 02:17:00,284,19,5,2,-2,1
10/11/2011 02:18:00,284,19,4,2,-3,1
10/11/2011 02:19:00,284,19,4,2,-3,1
10/11/2011 02:20:00,284,19,5,2,-3,1
10/11/2011 02:21:00,284,19,5,2,-3,1
10/11/2011 02:22:00,284,19,5,2,-3,1
10/11/2011 02:23:00,284,19,5,2,-3,1
10/11/2011 02:24:00,284,19,5,2,-2,1
10/11/2011 02:25:00,284,18,5,2,-3,1
10/11/2011 02:26:00,284,18,5,2,-2,1
10/11/2011 02:27:00,284,18,4,2,-3,1
10/11/2011 02:28:00,284,19,4,2,-3,1
10/11/2011 02:29:00,284,19,5,2,-3,1
10/11/2011 02:30:00,284,19,5,2,-3,1
10/11/2011 02:31:00,284,19,5,2,-3,1
10/11/2011 02:32:00,284,18,5,2,-3,1
10/11/2011 02:33:00,284,19,5,2,-3,1
10/11/2011 02:34:00,284,18,5,2,-3,1
10/11/2011 02:35:00,284,18,4,2,-3,1
10/11/2011 02:36:00,284,18,4,2,-3,1
10/11/2011 02:37:00,284,18,4,2,-3,1
10/11/2011 02:38:00,284,18,5,2,-3,1
10/11/2011 02:39:00,284,18,5,2,-3,1
10/11/2011 02:40:00,284,18,5,2,-3,1
10/11/2011 02:41:00,284,18,4,2,-3,1
10/11/2011 02:42:00,284,18,4,2,-3,1
10/11/2011 02:43:00,284,18,4,2,-3,1
10/11/2011 02:44:00,284,17,4,1,-3,1
10/11/2011 02:45:00,284,17,4,2,-3,1
10/11/2011 02:46:00,284,17,4,2,-3,1
10/11/2011 02:47:00,284,18,3,1,-4,1
10/11/2011 02:48:00,284,18,3,1,-3,1
10/11/2011 02:49:00,284,17,4,1,-4,1
10/11/2011 02:50:00,284,17,5,1,-4,1
10/11/2011 02:51:00,284,17,4,1,-4,1
10/11/2011 02:52:00,284,17,4,1,-4,1
10/11/2011 02:53:00,284,17,4,1,-4,1
10/11/2011 02:54:00,284,17,4,1,-4,1
10/11/2011 02:55:00,284,17,4,1,-4,1
10/11/2011 02:56:00,284,18,4,1,-4,1
10/11/2011 02:57:00,284,18,3,1,-4,1
10/11/2011 02:58:00,284,18,5,1,-4,1
10/11/2011 02:59:00,284,19,5,1,-4,1
10/11/2011 03:00:00,284,19,5,1,-4,1
10/11/2011 03:01:00,284,20,5,1,-4,1
10/11/2011 03:02:00,284,20,4,1,-4,1
10/11/2011 03:03:00,284,19,5,1,-5,1
10/11/2011 03:04:00,284,19,5,1,-4,1
10/11/2011 03:05:00,284,20,5,1,-4,1
10/11/2011 03:06:00,284,20,5,1,-4,1
10/11/2011 03:07:00,284,20,4,1,-5,1
10/11/2011 03:08:00,284,19,4,1,-4,1
10/11/2011 03:09:00,284,20,5,1,-5,1
10/11/2011 03:10:00,284,20,5,1,-5,1
10/11/2011 03:11:00,284,21,5,1,-5,1
10/11/2011 03:12:00,284,20,5,0,-5,1
10/11/2011 03:13:00,284,21,5,1,-5,1
10/11/2011 03:14:00,284,21,5,0,-4,1
10/11/2011 03:15:00,284,21,4,0,-5,1
10/11/2011 03:16:00,284,21,4,0,-4,1
10/11/2011 03:17:00,284,21,5,0,-5,1
10/11/2011 03:18:00,284,20,5,0,-4,1
10/11/2011 03:19:00,284,22,5,0,-5,1
10/11/2011 03:20:00,284,22,6,0,-5,1
10/11/2011 03:21:00,284,22,6,0,-4,1
10/11/2011 03:22:00,284,22,6,0,-4,1
10/11/2011 03:23:00,284,21,5,0,-4,1
10/11/2011 03:24:00,284,21,7,0,-4,1
10/11/2011 03:25:00,284,21,7,0,-4,1
10/11/2011 03:26:00,284,21,7,0,-4,1
10/11/2011 03:27:00,284,21,6,0,-4,1
10/11/2011 03:28:00,284,20,7,0,-4,1
10/11/2011 03:29:00,284,21,6,0,-4,1
10/11/2011 03:30:00,284,21,8,0,-3,1
10/11/2011 03:31:00,284,20,8,0,-4,1
10/11/2011 03:32:00,284,20,8,0,-3,1
10/11/2011 03:33:00,284,21,8,0,-3,1
10/11/2011 03:34:00,284,21,8,0,-3,1
10/11/2011 03:35:00,284,21,7,0,-4,1
10/11/2011 03:36:00,284,21,7,0,-4,1
10/11/2011 03:37:00,284,21,8,0,-3,1
10/11/2011 03:38:00,284,21,7,0,-3,1
10/11/2011 03:39:00,284,21,7,0,-3,1
10/11/2011 03:40:00,284,21,8,0,-3,1
10/11/2011 03:41:00,284,21,8,0,-3,1
10/11/2011 03:42:00,284,21,8,0,-3,1
10/11/2011 03:43:00,284,21,8,0,-3,1
10/11/2011 03:44:00,284,21,9,0,-3,1
10/11/2011 03:45:00,284,21,9,0,-3,1
10/11/2011 03:46:00,284,22,9,0,-3,1
10/11/2011 03:47:00,284,22,9,0,-3,1
10/11/2011 03:48:00,284,22,9,0,-3,1
10/11/2011 03:49:00,284,22,9,0,-3,1
10/11/2011 03:50:00,284,21,9,-1,-3,1
10/11/2011 03:51:00,284,21,9,-1,-3,1
10/11/2011 03:52:00,284,21,9,0,-3,1
10/11/2011 03:53:00,284,21,9,0,-3,1
10/11/2011 03:54:00,284,21,9,0,-3,1
10/11/2011 03:55:00,284,22,10,0,-3,1
10/11/2011 03:56:00,284,22,11,0,-3,1
10/11/2011 03:57:00,284,22,11,0,-3,1
10/11/2011 03:58:00,284,22,11,0,-3,1
10/11/2011 03:59:00,284,22,10,0,-3,1
10/11/2011 04:00:00,284,21,11,0,-3,1
10/11/2011 04:01:00,284,21,11,0,-2,1
10/11/2011 04:02:00,284,21,10,0,-3,1
10/11/2011 04:03:00,284,21,10,0,-2,1
10/11/2011 04:04:00,284,21,10,0,-2,1
10/11/2011 04:05:00,284,20,10,0,-2,1
10/11/2011 04:06:00,284,20,10,0,-1,1
10/11/2011 04:07:00,284,20,11,0,-1,1
10/11/2011 04:08:00,284,20,12,0,-1,1
10/11/2011 04:09:00,284,20,12,0,-1,1
10/11/2011 04:10:00,284,21,12,0,-1,1
10/11/2011 04:11:00,284,21,12,0,-1,1
10/11/2011 04:12:00,284,20,13,0,-1,1
10/11/2011 04:13:00,284,21,12,0,-1,1
10/11/2011 04:14:00,284,21,12,0,-1,1
10/11/2011 04:15:00,284,21,12,0,-1,1
10/11/2011 04:16:00,284,21,12,0,-1,1
10/11/2011 04:17:00,284,21,13,0,-1,1
10/11/2011 04:18:00,284,21,13,0,-1,1
10/11/2011 04:19:00,284,20,13,0,0,1
10/11/2011 04:20:00,284,20,13,0,0,1
10/11/2011 04:21:00,284,20,13,0,0,1
10/11/2011 04:22:00,284,21,13,0,0,1
10/11/2011 04:23:00,284,21,14,0,0,1
10/11/2011 04:24:00,284,20,14,0,0,1
10/11/2011 04:25:00,284,20,14,0,0,1
10/11/2011 04:26:00,284,20,14,0,0,1
10/11/2011 04:27:00,284,20,14,0,0,1
10/11/2011 04:28:00,284,20,14,0,0,1
10/11/2011 04:29:00,284,20,15,0,1,1
10/11/2011 04:30:00,284,19,16,0,1,1
10/11/2011 04:31:00,284,19,16,1,1,1
10/11/2011 04:32:00,284,19,16,0,1,1
10/11/2011 04:33:00,284,19,16,0,1,1
10/11/2011 04:34:00,284,18,16,0,1,1
10/11/2011 04:35:00,284,18,17,0,1,1
10/11/2011 04:36:00,284,18,17,0,1,1
10/11/2011 04:37:00,284,18,17,1,1,1
10/11/2011 04:38:00,284,18,17,1,1,1
10/11/2011 04:39:00,284,18,17,1,1,1
10/11/2011 04:40:00,284,19,18,1,1,1
10/11/2011 04:41:00,284,19,18,1,1,1
10/11/2011 04:42:00,284,19,17,1,1,1
10/11/2011 04:43:00,284,18,17,1,2,1
10/11/2011 04:44:00,284,18,17,1,2,1
10/11/2011 04:45:00,284,17,17,1,2,1
10/11/2011 04:46:00,284,17,18,1,2,1
10/11/2011 04:47:00,284,17,18,1,2,1
10/11/2011 04:48:00,284,17,18,1,2,1
10/11/2011 04:49:00,284,17,18,1,2,1
10/11/2011 04:50:00,284,17,18,1,2,1
10/11/2011 04:51:00,284,17,19,1,2,1
10/11/2011 04:52:00,284,17,18,1,1,1
10/11/2011 04:53:00,284,17,18,1,1,1
10/11/2011 04:54:00,284,17,18,1,1,1
10/11/2011 04:55:00,284,16,18,1,1,1
10/11/2011 04:56:00,284,17,18,1,1,1
10/11/2011 04:57:00,284,17,18,1,1,1
10/11/2011 04:58:00,284,16,19,1,1,1
10/11/2011 04:59:00,284,15,18,1,1,1
10/11/2011 05:00:00,284,15,18,1,1,1
10/11/2011 05:01:00,284,15,18,1,1,1
10/11/2011 05:02:00,284,15,18,1,1,1
10/11/2011 05:03:00,284,15,19,2,1,1
10/11/2011 05:04:00,284,14,18,1,1,1
10/11/2011 05:05:00,284,15,18,2,1,1
10/11/2011 05:06:00,284,15,18,2,1,1
10/11/2011 05:07:00,284,14,18,2,1,1
10/11/2011 05:08:00,284,15,19,2,1,1
10/11/2011 05:09:00,284,14,19,2,1,1
10/11/2011 05:10:00,284,14,19,2,1,1
10/11/2011 05:11:00,284,14,19,2,1,1
10/11/2011 05:12:00,284,14,18,2,1,1
10/11/2011 05:13:00,284,13,18,2,1,1
10/11/2011 05:14:00,284,13,18,2,1,1
10/11/2011 05:15:00,284,13,19,2,2,1
10/11/2011 05:16:00,284,13,19,2,2,1
10/11/2011 05:17:00,284,13,20,2,2,1
10/11/2011 05:18:00,284,14,20,2,2,1
10/11/2011 05:19:00,284,14,20,2,2,1
10/11/2011 05:20:00,284,14,20,2,2,1
10/11/2011 05:21:00,284,14,19,2,2,1
10/11/2011 05:22:00,284,13,20,2,2,1
10/11/2011 05:23:00,284,14,20,2,2,1
10/11/2011 05:24:00,284,14,19,2,2,1
10/11/2011 05:25:00,284,13,20,2,2,1
10/11/2011 05:26:00,284,14,20,2,2,1
10/11/2011 05:27:00,284,13,20,2,2,1
10/11/2011 05:28:00,284,13,19,2,2,1
10/11/2011 05:29:00,284,14,19,2,2,1
10/11/2011 05:30:00,284,14,19,2,2,1
10/11/2011 05:31:00,284,14,19,2,2,1
10/11/2011 05:32:00,284,14,19,2,2,1
10/11/2011 05:33:00,284,14,19,2,2,1
10/11/2011 05:34:00,284,14,19,2,2,1
10/11/2011 05:35:00,284,13,18,2,2,1
10/11/2011 05:36:00,284,13,19,2,2,1
10/11/2011 05:37:00,284,13,19,2,2,1
10/11/2011 05:38:00,284,13,19,2,2,1
10/11/2011 05:39:00,284,13,19,2,2,1
10/11/2011 05:40:00,284,13,19,2,2,1
10/11/2011 05:41:00,284,13,19,2,2,1
10/11/2011 05:42:00,284,13,18,2,2,1
10/11/2011 05:43:00,284,12,18,2,2,1
10/11/2011 05:44:00,284,12,18,2,2,1
10/11/2011 05:45:00,284,12,18,2,2,1
10/11/2011 05:46:00,284,12,19,2,2,1
10/11/2011 05:47:00,284,12,19,2,2,1
10/11/2011 05:48:00,284,12,18,2,1,1
10/11/2011 05:49:00,284,12,18,2,1,1
10/11/2011 05:50:00,284,12,18,3,1,1
