DateTime,DOY,ASY_D,ASY_H,SYM_D,SYM_H,Location
04/23/2012 00:00:00,114,15,14,3,-5,1
04/23/2012 00:01:00,114,16,14,3,-5,1
04/23/2012 00:02:00,114,15,15,3,-5,1
04/23/2012 00:03:00,114,15,15,3,-5,1
04/23/2012 00:04:00,114,15,15,3,-5,1
04/23/2012 00:05:00,114,15,16,3,-5,1
04/23/2012 00:06:00,114,15,16,3,-5,1
04/23/2012 00:07:00,114,15,16,3,-5,1
04/23/2012 00:08:00,114,15,16,3,-5,1
04/23/2012 00:09:00,114,14,17,3,-5,1
04/23/2012 00:10:00,114,14,18,3,-6,1
04/23/2012 00:11:00,114,15,18,3,-5,1
04/23/2012 00:12:00,114,15,18,3,-6,1
04/23/2012 00:13:00,114,15,18,3,-6,1
04/23/2012 00:14:00,114,15,18,3,-6,1
04/23/2012 00:15:00,114,15,18,3,-6,1
04/23/2012 00:16:00,114,15,18,3,-6,1
04/23/2012 00:17:00,114,15,18,3,-6,1
04/23/2012 00:18:00,114,15,18,3,-7,1
04/23/2012 00:19:00,114,14,20,3,-7,1
04/23/2012 00:20:00,114,14,19,3,-7,1
04/23/2012 00:21:00,114,14,19,3,-7,1
04/23/2012 00:22:00,114,14,19,3,-7,1
04/23/2012 00:23:00,114,14,19,3,-7,1
04/23/2012 00:24:00,114,15,19,3,-7,1
04/23/2012 00:25:00,114,15,20,4,-7,1
04/23/2012 00:26:00,114,15,20,3,-7,1
04/23/2012 00:27:00,114,14,20,4,-7,1
04/23/2012 00:28:00,114,14,20,4,-7,1
04/23/2012 00:29:00,114,13,21,4,-7,1
04/23/2012 00:30:00,114,13,20,4,-6,1
04/23/2012 00:31:00,114,13,21,4,-6,1
04/23/2012 00:32:00,114,14,20,4,-7,1
04/23/2012 00:33:00,114,14,21,4,-6,1
04/23/2012 00:34:00,114,14,20,4,-7,1
04/23/2012 00:35:00,114,14,20,4,-7,1
04/23/2012 00:36:00,114,13,21,4,-7,1
04/23/2012 00:37:00,114,13,21,4,-6,1
04/23/2012 00:38:00,114,14,21,4,-6,1
04/23/2012 00:39:00,114,13,21,4,-6,1
04/23/2012 00:40:00,114,13,21,4,-6,1
04/23/2012 00:41:00,114,13,22,4,-6,1
04/23/2012 00:42:00,114,13,22,4,-6,1
04/23/2012 00:43:00,114,13,22,3,-6,1
04/23/2012 00:44:00,114,14,22,4,-6,1
04/23/2012 00:45:00,114,13,22,4,-6,1
04/23/2012 00:46:00,114,13,22,3,-6,1
04/23/2012 00:47:00,114,13,22,3,-6,1
04/23/2012 00:48:00,114,13,22,3,-6,1
04/23/2012 00:49:00,114,13,22,3,-6,1
04/23/2012 00:50:00,114,14,22,3,-6,1
04/23/2012 00:51:00,114,14,22,3,-6,1
04/23/2012 00:52:00,114,14,22,3,-6,1
04/23/2012 00:53:00,114,13,22,3,-6,1
04/23/2012 00:54:00,114,13,21,3,-6,1
04/23/2012 00:55:00,114,13,21,3,-6,1
04/23/2012 00:56:00,114,13,21,3,-6,1
04/23/2012 00:57:00,114,13,21,3,-6,1
04/23/2012 00:58:00,114,13,21,3,-5,1
04/23/2012 00:59:00,114,13,21,3,-5,1
04/23/2012 01:00:00,114,12,21,3,-5,1
04/23/2012 01:01:00,114,12,22,3,-5,1
04/23/2012 01:02:00,114,13,22,3,-5,1
04/23/2012 01:03:00,114,13,22,3,-5,1
04/23/2012 01:04:00,114,13,22,3,-5,1
04/23/2012 01:05:00,114,13,21,3,-5,1
04/23/2012 01:06:00,114,13,21,3,-4,1
04/23/2012 01:07:00,114,13,21,3,-4,1
04/23/2012 01:08:00,114,13,22,3,-4,1
04/23/2012 01:09:00,114,13,22,3,-4,1
04/23/2012 01:10:00,114,13,22,3,-4,1
04/23/2012 01:11:00,114,13,22,3,-4,1
04/23/2012 01:12:00,114,12,22,3,-4,1
04/23/2012 01:13:00,114,12,22,3,-4,1
04/23/2012 01:14:00,114,12,22,3,-4,1
04/23/2012 01:15:00,114,12,22,3,-4,1
04/23/2012 01:16:00,114,11,22,3,-3,1
04/23/2012 01:17:00,114,12,22,3,-3,1
04/23/2012 01:18:00,114,12,21,3,-3,1
04/23/2012 01:19:00,114,11,21,3,-3,1
04/23/2012 01:20:00,114,12,21,3,-3,1
04/23/2012 01:21:00,114,12,21,3,-3,1
04/23/2012 01:22:00,114,12,21,3,-3,1
04/23/2012 01:23:00,114,12,20,3,-3,1
04/23/2012 01:24:00,114,12,20,3,-3,1
04/23/2012 01:25:00,114,12,20,3,-2,1
04/23/2012 01:26:00,114,13,20,3,-2,1
04/23/2012 01:27:00,114,13,20,3,-2,1
04/23/2012 01:28:00,114,12,19,3,-2,1
04/23/2012 01:29:00,114,12,20,3,-1,1
04/23/2012 01:30:00,114,13,20,3,-1,1
04/23/2012 01:31:00,114,13,20,3,-1,1
04/23/2012 01:32:00,114,13,18,3,-1,1
04/23/2012 01:33:00,114,13,18,3,-1,1
04/23/2012 01:34:00,114,13,19,3,0,1
04/23/2012 01:35:00,114,14,19,3,0,1
04/23/2012 01:36:00,114,13,19,3,0,1
04/23/2012 01:37:00,114,14,18,3,0,1
04/23/2012 01:38:00,114,14,18,3,0,1
04/23/2012 01:39:00,114,14,18,3,0,1
04/23/2012 01:40:00,114,14,18,3,0,1
04/23/2012 01:41:00,114,14,18,3,0,1
04/23/2012 01:42:00,114,14,18,3,0,1
04/23/2012 01:43:00,114,14,17,3,0,1
04/23/2012 01:44:00,114,14,17,3,0,1
04/23/2012 01:45:00,114,14,17,3,0,1
04/23/2012 01:46:00,114,15,17,3,0,1
04/23/2012 01:47:00,114,14,15,3,1,1
04/23/2012 01:48:00,114,14,16,3,1,1
04/23/2012 01:49:00,114,15,16,3,1,1
04/23/2012 01:50:00,114,15,16,3,1,1
04/23/2012 01:51:00,114,15,16,3,1,1
04/23/2012 01:52:00,114,15,16,3,1,1
04/23/2012 01:53:00,114,15,17,3,2,1
04/23/2012 01:54:00,114,16,17,3,2,1
04/23/2012 01:55:00,114,15,16,3,2,1
04/23/2012 01:56:00,114,16,16,3,3,1
04/23/2012 01:57:00,114,16,16,3,3,1
04/23/2012 01:58:00,114,15,16,3,3,1
04/23/2012 01:59:00,114,16,17,3,3,1
04/23/2012 02:00:00,114,16,16,3,3,1
04/23/2012 02:01:00,114,16,16,3,3,1
04/23/2012 02:02:00,114,16,16,3,3,1
04/23/2012 02:03:00,114,16,16,3,3,1
04/23/2012 02:04:00,114,17,16,3,3,1
04/23/2012 02:05:00,114,17,17,3,4,1
04/23/2012 02:06:00,114,16,16,3,4,1
04/23/2012 02:07:00,114,17,15,3,4,1
04/23/2012 02:08:00,114,16,16,3,5,1
04/23/2012 02:09:00,114,16,16,3,5,1
04/23/2012 02:10:00,114,16,15,3,5,1
04/23/2012 02:11:00,114,16,15,3,5,1
04/23/2012 02:12:00,114,16,16,3,5,1
04/23/2012 02:13:00,114,16,16,3,5,1
04/23/2012 02:14:00,114,16,16,3,5,1
04/23/2012 02:15:00,114,16,15,3,5,1
04/23/2012 02:16:00,114,16,15,3,5,1
04/23/2012 02:17:00,114,16,14,3,5,1
04/23/2012 02:18:00,114,16,14,3,5,1
04/23/2012 02:19:00,114,16,13,3,5,1
04/23/2012 02:20:00,114,16,13,3,4,1
04/23/2012 02:21:00,114,16,14,3,4,1
04/23/2012 02:22:00,114,15,14,3,4,1
04/23/2012 02:23:00,114,16,14,3,4,1
04/23/2012 02:24:00,114,15,13,3,4,1
04/23/2012 02:25:00,114,16,13,3,5,1
04/23/2012 02:26:00,114,16,13,3,5,1
04/23/2012 02:27:00,114,16,13,3,4,1
04/23/2012 02:28:00,114,16,13,3,4,1
04/23/2012 02:29:00,114,16,13,3,4,1
04/23/2012 02:30:00,114,17,12,3,4,1
04/23/2012 02:31:00,114,17,12,3,4,1
04/23/2012 02:32:00,114,17,11,3,5,1
04/23/2012 02:33:00,114,16,12,3,5,1
04/23/2012 02:34:00,114,17,12,4,5,1
04/23/2012 02:35:00,114,17,12,4,5,1
04/23/2012 02:36:00,114,17,11,4,5,1
04/23/2012 02:37:00,114,17,12,4,5,1
04/23/2012 02:38:00,114,17,12,3,5,1
04/23/2012 02:39:00,114,17,12,4,5,1
04/23/2012 02:40:00,114,17,11,4,5,1
04/23/2012 02:41:00,114,16,12,4,5,1
04/23/2012 02:42:00,114,17,12,4,5,1
04/23/2012 02:43:00,114,16,12,4,5,1
04/23/2012 02:44:00,114,17,12,4,5,1
04/23/2012 02:45:00,114,17,12,3,5,1
04/23/2012 02:46:00,114,17,12,3,5,1
04/23/2012 02:47:00,114,16,12,3,6,1
04/23/2012 02:48:00,114,17,12,3,6,1
04/23/2012 02:49:00,114,16,12,3,5,1
04/23/2012 02:50:00,114,16,12,3,5,1
04/23/2012 02:51:00,114,15,12,3,5,1
04/23/2012 02:52:00,114,16,13,3,5,1
04/23/2012 02:53:00,114,16,13,3,5,1
04/23/2012 02:54:00,114,16,13,3,5,1
04/23/2012 02:55:00,114,16,13,3,6,1
04/23/2012 02:56:00,114,16,13,3,6,1
04/23/2012 02:57:00,114,16,14,3,6,1
04/23/2012 02:58:00,114,16,14,3,6,1
04/23/2012 02:59:00,114,14,13,3,6,1
04/23/2012 03:00:00,114,15,13,3,6,1
04/23/2012 03:01:00,114,14,14,3,6,1
04/23/2012 03:02:00,114,14,13,3,6,1
04/23/2012 03:03:00,114,14,13,3,6,1
04/23/2012 03:04:00,114,14,13,3,6,1
04/23/2012 03:05:00,114,14,13,2,6,1
04/23/2012 03:06:00,114,15,14,2,6,1
04/23/2012 03:07:00,114,14,14,2,6,1
04/23/2012 03:08:00,114,15,13,2,5,1
04/23/2012 03:09:00,114,14,13,2,5,1
04/23/2012 03:10:00,114,14,14,2,6,1
04/23/2012 03:11:00,114,14,14,2,6,1
04/23/2012 03:12:00,114,14,14,2,5,1
04/23/2012 03:13:00,114,15,14,2,6,1
04/23/2012 03:14:00,114,14,13,2,5,1
04/23/2012 03:15:00,114,14,14,2,5,1
04/23/2012 03:16:00,114,14,14,2,5,1
