Datetime,DOY,ASY_D,ASY_H,SYM_D,SYM_H,Location
1/1/2015 0:00,1,34,17,-2,-20,1
1/1/2015 0:01,1,33,18,-2,-20,1
1/1/2015 0:02,1,33,17,-2,-19,1
1/1/2015 0:03,1,33,17,-2,-19,1
1/1/2015 0:04,1,32,16,-1,-20,1
1/1/2015 0:05,1,31,17,-1,-20,1
1/1/2015 0:06,1,31,17,-2,-20,1
1/1/2015 0:07,1,31,18,-2,-20,1
1/1/2015 0:08,1,31,19,-1,-20,1
1/1/2015 0:09,1,30,19,-1,-20,1
1/1/2015 0:10,1,30,19,-1,-20,1
1/1/2015 0:11,1,31,20,-1,-20,1
1/1/2015 0:12,1,30,21,-1,-20,1
1/1/2015 0:13,1,30,22,-1,-20,1
1/1/2015 0:14,1,30,22,-1,-20,1
1/1/2015 0:15,1,31,23,-1,-20,1
1/1/2015 0:16,1,31,21,-1,-20,1
1/1/2015 0:17,1,32,21,-1,-20,1
1/1/2015 0:18,1,32,21,-1,-20,1
1/1/2015 0:19,1,32,21,-1,-20,1
1/1/2015 0:20,1,32,22,-1,-20,1
1/1/2015 0:21,1,32,22,-1,-20,1
1/1/2015 0:22,1,31,22,-1,-20,1
1/1/2015 0:23,1,31,22,-1,-21,1
1/1/2015 0:24,1,30,22,-1,-20,1
1/1/2015 0:25,1,30,22,-1,-20,1
1/1/2015 0:26,1,30,22,-1,-20,1
1/1/2015 0:27,1,28,22,-1,-21,1
1/1/2015 0:28,1,28,21,-1,-21,1
1/1/2015 0:29,1,28,22,-1,-21,1
1/1/2015 0:30,1,28,22,-1,-21,1
1/1/2015 0:31,1,28,22,-1,-21,1
1/1/2015 0:32,1,28,22,-1,-21,1
1/1/2015 0:33,1,28,22,-1,-21,1
1/1/2015 0:34,1,28,22,-1,-21,1
1/1/2015 0:35,1,26,21,-1,-21,1
1/1/2015 0:36,1,26,21,-1,-20,1
1/1/2015 0:37,1,26,21,-1,-20,1
1/1/2015 0:38,1,26,21,-1,-20,1
1/1/2015 0:39,1,25,20,-1,-20,1
1/1/2015 0:40,1,25,20,-1,-20,1
1/1/2015 0:41,1,23,20,-1,-20,1
1/1/2015 0:42,1,23,21,-1,-19,1
1/1/2015 0:43,1,23,21,-1,-19,1
1/1/2015 0:44,1,23,21,-1,-19,1
