DateTime,DOY,ASY_D,ASY_H,SYM_D,SYM_H,Location
10/24/2011 0:00,297,27,11,-2,4,1
10/24/2011 0:01,297,27,10,-2,5,1
10/24/2011 0:02,297,26,10,-2,5,1
10/24/2011 0:03,297,26,10,-2,5,1
10/24/2011 0:04,297,25,10,-2,5,1
10/24/2011 0:05,297,25,9,-2,4,1
10/24/2011 0:06,297,25,11,-2,4,1
10/24/2011 0:07,297,26,12,-3,3,1
10/24/2011 0:08,297,27,13,-3,2,1
10/24/2011 0:09,297,28,13,-3,1,1
10/24/2011 0:10,297,29,14,-4,1,1
10/24/2011 0:11,297,29,15,-4,1,1
10/24/2011 0:12,297,31,16,-4,0,1
10/24/2011 0:13,297,33,17,-4,-1,1
10/24/2011 0:14,297,32,16,-4,-1,1
10/24/2011 0:15,297,32,16,-4,-1,1
10/24/2011 0:16,297,29,15,-3,-2,1
10/24/2011 0:17,297,26,14,-3,-2,1
10/24/2011 0:18,297,27,15,-3,-3,1
10/24/2011 0:19,297,30,15,-4,-4,1
10/24/2011 0:20,297,30,16,-4,-4,1
10/24/2011 0:21,297,32,17,-4,-6,1
10/24/2011 0:22,297,34,18,-5,-6,1
10/24/2011 0:23,297,36,18,-5,-7,1
10/24/2011 0:24,297,36,19,-5,-8,1
10/24/2011 0:25,297,36,20,-5,-8,1
10/24/2011 0:26,297,35,19,-5,-8,1
10/24/2011 0:27,297,33,19,-5,-8,1
10/24/2011 0:28,297,32,17,-4,-8,1
10/24/2011 0:29,297,32,17,-4,-8,1
10/24/2011 0:30,297,31,17,-4,-8,1
10/24/2011 0:31,297,31,17,-4,-8,1
10/24/2011 0:32,297,30,16,-3,-7,1
10/24/2011 0:33,297,30,16,-3,-7,1
10/24/2011 0:34,297,30,17,-3,-7,1
10/24/2011 0:35,297,29,16,-3,-7,1
10/24/2011 0:36,297,29,16,-3,-7,1
10/24/2011 0:37,297,30,16,-3,-7,1
10/24/2011 0:38,297,30,16,-3,-7,1
10/24/2011 0:39,297,30,16,-3,-7,1
10/24/2011 0:40,297,29,17,-3,-7,1
10/24/2011 0:41,297,28,16,-3,-7,1
10/24/2011 0:42,297,29,16,-3,-7,1
10/24/2011 0:43,297,28,16,-3,-7,1
10/24/2011 0:44,297,28,17,-3,-7,1
10/24/2011 0:45,297,28,17,-3,-8,1
10/24/2011 0:46,297,28,17,-2,-8,1
10/24/2011 0:47,297,27,15,-2,-7,1
10/24/2011 0:48,297,27,15,-2,-7,1
10/24/2011 0:49,297,27,15,-2,-7,1
10/24/2011 0:50,297,26,16,-2,-7,1
10/24/2011 0:51,297,26,16,-2,-7,1
10/24/2011 0:52,297,25,15,-2,-7,1
10/24/2011 0:53,297,25,15,-2,-7,1
10/24/2011 0:54,297,24,15,-2,-7,1
10/24/2011 0:55,297,24,16,-2,-7,1
10/24/2011 0:56,297,23,15,-2,-7,1
10/24/2011 0:57,297,23,15,-2,-6,1
10/24/2011 0:58,297,23,15,-2,-6,1
10/24/2011 0:59,297,23,15,-2,-6,1
10/24/2011 1:00,297,23,15,-2,-6,1
10/24/2011 1:01,297,22,14,-2,-6,1
10/24/2011 1:02,297,22,14,-1,-6,1
10/24/2011 1:03,297,21,14,-2,-6,1
10/24/2011 1:04,297,20,13,-1,-5,1
10/24/2011 1:05,297,20,13,-1,-5,1
10/24/2011 1:06,297,20,13,-1,-5,1
10/24/2011 1:07,297,19,14,-1,-5,1
10/24/2011 1:08,297,18,14,-1,-5,1
10/24/2011 1:09,297,18,13,-1,-5,1
10/24/2011 1:10,297,18,13,-1,-5,1
10/24/2011 1:11,297,18,13,-1,-5,1
10/24/2011 1:12,297,18,13,-1,-5,1
10/24/2011 1:13,297,18,13,-1,-5,1
10/24/2011 1:14,297,17,14,-1,-5,1
10/24/2011 1:15,297,17,14,-1,-5,1
10/24/2011 1:16,297,17,13,-1,-4,1
10/24/2011 1:17,297,16,12,-1,-5,1
10/24/2011 1:18,297,15,12,-1,-4,1
10/24/2011 1:19,297,15,12,-1,-4,1
10/24/2011 1:20,297,15,12,-1,-4,1
10/24/2011 1:21,297,15,12,-1,-4,1
10/24/2011 1:22,297,14,12,0,-4,1
10/24/2011 1:23,297,15,12,-1,-4,1
10/24/2011 1:24,297,15,11,0,-3,1
10/24/2011 1:25,297,15,12,0,-3,1
10/24/2011 1:26,297,15,11,-1,-3,1
10/24/2011 1:27,297,14,12,-1,-3,1
10/24/2011 1:28,297,14,13,-1,-3,1
10/24/2011 1:29,297,14,13,-1,-3,1
10/24/2011 1:30,297,13,13,0,-3,1
10/24/2011 1:31,297,13,13,0,-3,1
10/24/2011 1:32,297,13,13,0,-3,1
10/24/2011 1:33,297,12,13,0,-2,1
10/24/2011 1:34,297,12,13,0,-2,1
10/24/2011 1:35,297,11,14,0,-2,1
10/24/2011 1:36,297,11,13,0,-1,1
10/24/2011 1:37,297,11,13,0,-1,1
10/24/2011 1:38,297,10,13,0,-1,1
10/24/2011 1:39,297,10,13,0,-1,1
10/24/2011 1:40,297,11,13,0,-1,1
10/24/2011 1:41,297,10,12,0,-1,1
10/24/2011 1:42,297,11,12,0,-1,1
10/24/2011 1:43,297,10,12,0,-1,1
10/24/2011 1:44,297,10,12,0,-1,1
10/24/2011 1:45,297,10,12,0,-1,1
10/24/2011 1:46,297,10,12,0,-1,1
10/24/2011 1:47,297,11,12,0,-1,1
10/24/2011 1:48,297,11,12,0,-1,1
10/24/2011 1:49,297,10,12,0,-1,1
10/24/2011 1:50,297,10,12,0,-1,1
10/24/2011 1:51,297,9,12,0,-1,1
10/24/2011 1:52,297,9,12,0,-1,1
10/24/2011 1:53,297,9,12,0,-1,1
10/24/2011 1:54,297,9,12,0,-1,1
10/24/2011 1:55,297,8,12,0,-1,1
10/24/2011 1:56,297,8,12,0,-1,1
10/24/2011 1:57,297,8,12,0,-1,1
10/24/2011 1:58,297,8,12,0,-1,1
10/24/2011 1:59,297,7,13,0,0,1
10/24/2011 2:00,297,6,13,0,0,1
10/24/2011 2:01,297,6,13,0,0,1
10/24/2011 2:02,297,6,13,0,0,1
10/24/2011 2:03,297,6,13,0,-1,1
10/24/2011 2:04,297,5,13,0,-1,1
10/24/2011 2:05,297,5,13,0,-1,1
10/24/2011 2:06,297,5,13,0,-1,1
10/24/2011 2:07,297,5,13,0,-1,1
10/24/2011 2:08,297,5,13,1,-1,1
10/24/2011 2:09,297,5,13,1,-1,1
10/24/2011 2:10,297,5,13,1,-1,1
10/24/2011 2:11,297,5,12,1,-1,1
10/24/2011 2:12,297,6,12,1,-1,1
10/24/2011 2:13,297,6,12,1,-1,1
10/24/2011 2:14,297,6,11,1,-1,1
10/24/2011 2:15,297,6,11,1,-2,1
10/24/2011 2:16,297,6,11,1,-2,1
10/24/2011 2:17,297,7,11,1,-2,1
10/24/2011 2:18,297,7,11,1,-2,1
10/24/2011 2:19,297,7,11,1,-2,1
10/24/2011 2:20,297,7,10,1,-2,1
10/24/2011 2:21,297,6,10,1,-2,1
10/24/2011 2:22,297,7,11,1,-2,1
10/24/2011 2:23,297,7,11,1,-2,1
10/24/2011 2:24,297,8,11,1,-2,1
10/24/2011 2:25,297,8,11,1,-2,1
10/24/2011 2:26,297,8,11,1,-2,1
10/24/2011 2:27,297,9,11,1,-2,1
10/24/2011 2:28,297,9,10,1,-3,1
10/24/2011 2:29,297,10,9,1,-2,1
10/24/2011 2:30,297,10,9,1,-2,1
10/24/2011 2:31,297,10,9,1,-2,1
10/24/2011 2:32,297,10,8,1,-2,1
10/24/2011 2:33,297,11,8,1,-2,1
10/24/2011 2:34,297,11,9,1,-2,1
10/24/2011 2:35,297,10,9,1,-2,1
10/24/2011 2:36,297,11,9,1,-2,1
10/24/2011 2:37,297,11,8,1,-2,1
10/24/2011 2:38,297,10,9,1,-2,1
10/24/2011 2:39,297,11,9,1,-2,1
10/24/2011 2:40,297,11,8,1,-2,1
10/24/2011 2:41,297,11,8,1,-2,1
10/24/2011 2:42,297,11,9,1,-1,1
10/24/2011 2:43,297,12,9,1,-2,1
10/24/2011 2:44,297,11,8,1,-1,1
10/24/2011 2:45,297,11,8,1,-1,1
10/24/2011 2:46,297,12,8,1,-1,1
10/24/2011 2:47,297,11,8,1,-2,1
10/24/2011 2:48,297,12,8,1,-1,1
10/24/2011 2:49,297,12,8,1,-1,1
10/24/2011 2:50,297,12,9,1,-2,1
10/24/2011 2:51,297,12,9,1,-2,1
