Datetime,DOY,ASY_D,ASY_H,SYM_D,SYM_H,Location
01/01/2015 00:00:00,1,34,17,-2,-20,1
01/01/2015 00:01:00,1,33,18,-2,-20,1
01/01/2015 00:02:00,1,33,17,-2,-19,1
01/01/2015 00:03:00,1,33,17,-2,-19,1
01/01/2015 00:04:00,1,32,16,-1,-20,1
01/01/2015 00:05:00,1,31,17,-1,-20,1
01/01/2015 00:06:00,1,31,17,-2,-20,1
01/01/2015 00:07:00,1,31,18,-2,-20,1
01/01/2015 00:08:00,1,31,19,-1,-20,1
01/01/2015 00:09:00,1,30,19,-1,-20,1
01/01/2015 00:10:00,1,30,19,-1,-20,1
01/01/2015 00:11:00,1,31,20,-1,-20,1
01/01/2015 00:12:00,1,30,21,-1,-20,1
01/01/2015 00:13:00,1,30,22,-1,-20,1
01/01/2015 00:14:00,1,30,22,-1,-20,1
01/01/2015 00:15:00,1,31,23,-1,-20,1
01/01/2015 00:16:00,1,31,21,-1,-20,1
01/01/2015 00:17:00,1,32,21,-1,-20,1
01/01/2015 00:18:00,1,32,21,-1,-20,1
01/01/2015 00:19:00,1,32,21,-1,-20,1
01/01/2015 00:20:00,1,32,22,-1,-20,1
01/01/2015 00:21:00,1,32,22,-1,-20,1
01/01/2015 00:22:00,1,31,22,-1,-20,1
01/01/2015 00:23:00,1,31,22,-1,-21,1
01/01/2015 00:24:00,1,30,22,-1,-20,1
01/01/2015 00:25:00,1,30,22,-1,-20,1
01/01/2015 00:26:00,1,30,22,-1,-20,1
01/01/2015 00:27:00,1,28,22,-1,-21,1
01/01/2015 00:28:00,1,28,21,-1,-21,1
01/01/2015 00:29:00,1,28,22,-1,-21,1
01/01/2015 00:30:00,1,28,22,-1,-21,1
01/01/2015 00:31:00,1,28,22,-1,-21,1
01/01/2015 00:32:00,1,28,22,-1,-21,1
01/01/2015 00:33:00,1,28,22,-1,-21,1
01/01/2015 00:34:00,1,28,22,-1,-21,1
01/01/2015 00:35:00,1,26,21,-1,-21,1
01/01/2015 00:36:00,1,26,21,-1,-20,1
01/01/2015 00:37:00,1,26,21,-1,-20,1
01/01/2015 00:38:00,1,26,21,-1,-20,1
01/01/2015 00:39:00,1,25,20,-1,-20,1
01/01/2015 00:40:00,1,25,20,-1,-20,1
01/01/2015 00:41:00,1,23,20,-1,-20,1
01/01/2015 00:42:00,1,23,21,-1,-19,1
01/01/2015 00:43:00,1,23,21,-1,-19,1
01/01/2015 00:44:00,1,23,21,-1,-19,1
01/01/2015 00:45:00,1,23,22,-1,-19,1
01/01/2015 00:46:00,1,23,21,-1,-18,1
01/01/2015 00:47:00,1,23,21,-1,-18,1
01/01/2015 00:48:00,1,22,21,-1,-18,1
01/01/2015 00:49:00,1,23,21,-1,-18,1
01/01/2015 00:50:00,1,23,21,-1,-18,1
01/01/2015 00:51:00,1,23,22,-1,-18,1
01/01/2015 00:52:00,1,23,22,0,-18,1
01/01/2015 00:53:00,1,22,23,0,-18,1
01/01/2015 00:54:00,1,23,25,0,-18,1
01/01/2015 00:55:00,1,22,23,0,-18,1
01/01/2015 00:56:00,1,21,23,0,-18,1
01/01/2015 00:57:00,1,21,23,0,-18,1
01/01/2015 00:58:00,1,21,24,0,-17,1
01/01/2015 00:59:00,1,21,23,0,-17,1
01/01/2015 01:00:00,1,20,23,0,-17,1
